id,name,area,sub,skill_type,t_category,confidence,rationale,area_proxy_t,review_flag
CI-SIX-013,Data Collection & Measurement,Continuous Improvement,Six Sigma & Data,Technical,process,medium,"improvement/methodology signal (area=Continuous Improvement, kw=False)",process,
CI-SIX-014,Process Capability Analysis,Continuous Improvement,Six Sigma & Data,Technical,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
CI-VSM-005,Value Stream Mapping,Continuous Improvement,Value Stream,Technical,process,high,"improvement/methodology signal (area=Continuous Improvement, kw=True)",process,
CI-VSM-006,Process Flow Analysis,Continuous Improvement,Value Stream,Technical,process,medium,"improvement/methodology signal (area=Continuous Improvement, kw=False)",process,
CI-VSM-007,Cycle Time Reduction,Continuous Improvement,Value Stream,Technical,process,medium,"improvement/methodology signal (area=Continuous Improvement, kw=False)",process,
CORE-AI-001,AI Literacy,AI & DigitalTic,AI & Emerging Technology,Behavioral,digital,high,explicit rubric anchor/edge-case decision,digital,
CORE-AI-002,Prompt Engineering Basics,AI & DigitalTic,AI & Emerging Technology,Technical,digital,high,universal digital/computer-literacy subcategory (AI & Emerging Technology),digital,
CORE-AI-003,AI Output Evaluation,AI & DigitalTic,AI & Emerging Technology,Behavioral,digital,high,universal digital/computer-literacy subcategory (AI & Emerging Technology),digital,
CORE-AI-004,AI Ethics & Data Privacy Awareness,AI & DigitalTic,AI & Emerging Technology,Behavioral,digital,high,explicit rubric anchor/edge-case decision,digital,
CORE-AI-005,AI-Assisted Task Execution,AI & DigitalTic,AI & Emerging Technology,Technical,digital,high,universal digital/computer-literacy subcategory (AI & Emerging Technology),digital,
CORE-AI-006,Automation Awareness,AI & DigitalTic,AI & Emerging Technology,Behavioral,digital,high,universal digital/computer-literacy subcategory (AI & Emerging Technology),digital,
CORE-CI-001,Process Awareness,Universal Core,Continuous Improvement,Behavioral,process,medium,"improvement/methodology signal (area=Universal Core, kw=True)",adaptive,REVIEW
CORE-CI-002,Feedback Utilization,Universal Core,Continuous Improvement,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-CI-003,Initiative,Universal Core,Continuous Improvement,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-COLL-001,Teamwork,Universal Core,Collaboration,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-COLL-002,Cross-Functional Collaboration,Universal Core,Collaboration,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-COLL-003,Conflict Resolution,Universal Core,Collaboration,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-COMM-001,Written Communication,Universal Core,Communication,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-COMM-002,Verbal Communication,Universal Core,Communication,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-COMM-003,Active Listening,Universal Core,Communication,Behavioral,adaptive,high,explicit rubric anchor/edge-case decision,adaptive,
CORE-COMM-004,Professional Etiquette,Universal Core,Communication,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-CUST-001,Customer Interaction,Universal Core,Customer & Service Orientation,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-CUST-002,Issue Escalation,Universal Core,Customer & Service Orientation,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-CUST-003,Issue Response & Recovery,Universal Core,Customer & Service Orientation,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-DIG-001,Basic Computer Skills,Universal Core,Digital & Computer Literacy,Technical,digital,high,explicit rubric anchor/edge-case decision,adaptive,REVIEW
CORE-DIG-002,Microsoft Office Basics,Universal Core,Digital & Computer Literacy,Technical,digital,high,universal digital/computer-literacy subcategory (Digital & Computer Literacy),adaptive,REVIEW
CORE-DIG-003,System Navigation,Universal Core,Digital & Computer Literacy,Technical,digital,high,universal digital/computer-literacy subcategory (Digital & Computer Literacy),adaptive,REVIEW
CORE-DIG-004,Data Entry Accuracy,Universal Core,Digital & Computer Literacy,Operational,digital,high,universal digital/computer-literacy subcategory (Digital & Computer Literacy),adaptive,REVIEW
CORE-DIG-005,Work Management System Proficiency,Universal Core,Digital & Computer Literacy,Technical,digital,high,universal digital/computer-literacy subcategory (Digital & Computer Literacy),adaptive,REVIEW
CORE-PROF-001,Reliability,Universal Core,Professionalism & Work Ethic,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-PROF-002,Accountability,Universal Core,Professionalism & Work Ethic,Behavioral,adaptive,high,explicit rubric anchor/edge-case decision,adaptive,
CORE-PROF-003,Adaptability,Universal Core,Professionalism & Work Ethic,Behavioral,adaptive,high,explicit rubric anchor/edge-case decision,adaptive,
CORE-PROF-004,Integrity,Universal Core,Professionalism & Work Ethic,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-PSCT-001,Problem Identification,Universal Core,Problem Solving & Critical Thinking,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-PSCT-002,Critical Thinking,Universal Core,Problem Solving & Critical Thinking,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-PSCT-003,Decision Making,Universal Core,Problem Solving & Critical Thinking,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-PSCT-004,Troubleshooting,Universal Core,Problem Solving & Critical Thinking,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Universal Core)",adaptive,REVIEW
CORE-SAFE-001,Safety Awareness,Universal Core,Safety & Compliance,Safety,process,high,safety methodology -> Process,adaptive,REVIEW
CORE-SAFE-002,Policy Adherence,Universal Core,Safety & Compliance,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-SAFE-003,Confidentiality,Universal Core,Safety & Compliance,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-TTM-001,Prioritization,Universal Core,Task & Time Management,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-TTM-002,Time Management,Universal Core,Task & Time Management,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-TTM-003,Organization,Universal Core,Task & Time Management,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CORE-TTM-004,Follow-Through,Universal Core,Task & Time Management,Behavioral,adaptive,high,"general/behavioral capability (type=Behavioral, area=Universal Core)",adaptive,
CX-CSM-001,Onboarding Support,Customer Success,Customer Success Management,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-CSM-002,Adoption Monitoring,Customer Success,Customer Success Management,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Customer Success)",role_specific,
CX-CSM-003,Value Communication,Customer Success,Customer Success Management,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-INS-001,Feedback Collection,Customer Success,Customer Insights & Feedback,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-INS-002,Voice of Customer Analysis,Customer Success,Customer Insights & Feedback,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Customer Success)",role_specific,
CX-INS-003,Customer Journey Understanding,Customer Success,Customer Insights & Feedback,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-OPS-001,CRM & Ticketing Usage,Customer Success,Customer Experience Operations,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Customer Success)",role_specific,
CX-OPS-002,Process Documentation,Customer Success,Customer Experience Operations,Operational,process,medium,"improvement/methodology signal (area=Customer Success, kw=True)",role_specific,REVIEW
CX-OPS-003,Experience Improvement Support,Customer Success,Customer Experience Operations,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-REC-001,Issue Triage,Customer Success,Issue Resolution & Service Recovery,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Customer Success)",role_specific,
CX-REC-002,Service Recovery,Customer Success,Issue Resolution & Service Recovery,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-REC-003,Cross-Functional Coordination (Customer Success),Customer Success,Issue Resolution & Service Recovery,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-REL-001,Customer Engagement,Customer Success,Customer Relationship Management,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-REL-002,Account Understanding,Customer Success,Customer Relationship Management,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Customer Success)",role_specific,REVIEW
CX-REL-003,Customer Retention Support,Customer Success,Customer Relationship Management,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Customer Success)",role_specific,
DAIO-BI-001,Dashboard Development,Data & AI Operations,Business Intelligence & Visualization,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-BI-002,Report Automation,Data & AI Operations,Business Intelligence & Visualization,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-BI-003,Data Storytelling,Data & AI Operations,Business Intelligence & Visualization,,digital,medium,"digital tech build/operate signal (area=Data & AI Operations, kw=False)",digital,
DAIO-DM-001,Data Collection & Preparation,Data & AI Operations,Data Management,Technical,digital,medium,"digital tech build/operate signal (area=Data & AI Operations, kw=False)",digital,
DAIO-DM-002,Data Pipeline Management,Data & AI Operations,Data Management,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-DM-003,Data Quality Assurance,Data & AI Operations,Data Management,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-DM-004,Database Administration,Data & AI Operations,Data Management,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-IOT-001,IoT Sensor Data Management,Data & AI Operations,Industrial AI & IoT,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-IOT-002,Predictive Maintenance Systems,Data & AI Operations,Industrial AI & IoT,Technical,digital,medium,"digital tech build/operate signal (area=Data & AI Operations, kw=False)",digital,
DAIO-IOT-003,Computer Vision for Manufacturing,Data & AI Operations,Industrial AI & IoT,Technical,digital,high,explicit rubric anchor/edge-case decision,digital,
DAIO-IOT-004,Process Optimization with AI,Data & AI Operations,Industrial AI & IoT,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-ML-001,Machine Learning Model Development,Data & AI Operations,AI/ML Implementation,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-ML-002,Model Deployment & Integration,Data & AI Operations,AI/ML Implementation,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-ML-003,Model Monitoring & Maintenance,Data & AI Operations,AI/ML Implementation,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-ML-004,Training Data Management,Data & AI Operations,AI/ML Implementation,Technical,digital,medium,"digital tech build/operate signal (area=Data & AI Operations, kw=False)",digital,
DAIO-SEC-001,AI System Security,Data & AI Operations,AI Security & Compliance,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-SEC-002,AI Regulatory Compliance,Data & AI Operations,AI Security & Compliance,Technical,digital,high,"digital tech build/operate signal (area=Data & AI Operations, kw=True)",digital,
DAIO-SEC-003,AI Bias Detection & Mitigation,Data & AI Operations,AI Security & Compliance,Behavioral,digital,high,explicit rubric anchor/edge-case decision,digital,
DIST-ADMIN-001,Rental Contract Awareness,Distribution,Administrative Coordination,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-ADMIN-002,Sales Order Awareness,Distribution,Administrative Coordination,Operational,digital,medium,"digital tech build/operate signal (area=Distribution, kw=True)",role_specific,REVIEW
DIST-ADMIN-003,Documentation Accuracy,Distribution,Administrative Coordination,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-CUST-001,Customer Communication (Distribution),Distribution,Customer Interaction,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Distribution)",role_specific,REVIEW
DIST-CUST-002,Issue Escalation (Distribution),Distribution,Customer Interaction,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Distribution)",role_specific,REVIEW
DIST-CUST-003,Customer Handoff Procedures,Distribution,Customer Interaction,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-DISP-001,Dispatch Scheduling,Distribution,Dispatch & Coordination,Operational,process,medium,"improvement/methodology signal (area=Distribution, kw=True)",role_specific,REVIEW
DIST-DISP-002,Driver Coordination,Distribution,Dispatch & Coordination,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Distribution)",role_specific,REVIEW
DIST-DISP-003,Route Planning Awareness,Distribution,Dispatch & Coordination,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-DISP-004,Delivery Documentation,Distribution,Dispatch & Coordination,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-INV-001,Asset Tracking,Distribution,Inventory & Asset Control,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-INV-002,Cycle Counting (Distribution),Distribution,Inventory & Asset Control,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-INV-003,Loss Prevention Awareness,Distribution,Inventory & Asset Control,Safety,role_specific,medium,"domain expertise fallback (type=Safety, area=Distribution)",role_specific,
DIST-OPS-001,Order Processing (Distribution),Distribution,Distribution Operations,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-OPS-002,Equipment Allocation,Distribution,Distribution Operations,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-OPS-003,Fleet Readiness Verification,Distribution,Distribution Operations,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Distribution)",role_specific,
DIST-OPS-004,Equipment Check-In Procedures,Distribution,Distribution Operations,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-OPS-005,Equipment Check-Out Procedures,Distribution,Distribution Operations,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-OPS-006,Inventory Location Accuracy,Distribution,Distribution Operations,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-OPS-007,Yard Organization,Distribution,Distribution Operations,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Distribution)",role_specific,
DIST-SAFE-001,Yard Safety Practices,Distribution,Safety & Compliance,Safety,process,high,safety methodology -> Process,role_specific,REVIEW
DIST-SAFE-002,Load Securement Awareness,Distribution,Safety & Compliance,Safety,process,high,safety methodology -> Process,role_specific,REVIEW
DIST-SAFE-003,Equipment Tagging Procedures,Distribution,Safety & Compliance,Safety,process,high,safety methodology -> Process,role_specific,REVIEW
DIST-SAFE-004,Hazard Communication (Distribution),Distribution,Safety & Compliance,Safety,process,high,safety methodology -> Process,role_specific,REVIEW
EHS-COMP-001,OSHA Compliance Support,Safety & EHS,Safety Programs & Compliance,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Safety & EHS)",process,REVIEW
EHS-COMP-002,Safety Policy Implementation,Safety & EHS,Safety Programs & Compliance,Operational,process,medium,safety methodology -> Process,process,
EHS-COMP-003,Safety Audit Support,Safety & EHS,Safety Programs & Compliance,Operational,process,high,"improvement/methodology signal (area=Safety & EHS, kw=True)",process,
EHS-EMR-001,Emergency Response Procedures,Safety & EHS,Emergency Preparedness,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Safety & EHS)",process,REVIEW
EHS-EMR-002,First Aid & CPR Support,Safety & EHS,Emergency Preparedness,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Safety & EHS)",process,REVIEW
EHS-EMR-003,Drill Coordination,Safety & EHS,Emergency Preparedness,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Safety & EHS)",process,REVIEW
EHS-ENV-001,Waste Handling & Disposal,Safety & EHS,Environmental Management,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Safety & EHS)",process,REVIEW
EHS-ENV-002,Spill Prevention & Response,Safety & EHS,Environmental Management,Operational,process,medium,safety methodology -> Process,process,
EHS-ENV-003,Environmental Compliance (EHS),Safety & EHS,Environmental Management,Technical,role_specific,high,explicit rubric anchor/edge-case decision,process,REVIEW
EHS-HAZ-001,Hazard Recognition,Safety & EHS,Hazard Identification & Control,Operational,process,medium,safety methodology -> Process,process,
EHS-HAZ-002,Risk Assessment (Safety),Safety & EHS,Hazard Identification & Control,Technical,process,medium,safety methodology -> Process,process,
EHS-HAZ-003,Control Implementation,Safety & EHS,Hazard Identification & Control,Operational,process,high,explicit rubric anchor/edge-case decision,process,
EHS-INC-001,Incident Response,Safety & EHS,Incident Response & Investigation,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Safety & EHS)",process,REVIEW
EHS-INC-002,Incident Reporting,Safety & EHS,Incident Response & Investigation,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Safety & EHS)",process,REVIEW
EHS-INC-003,Root Cause Investigation,Safety & EHS,Incident Response & Investigation,Technical,process,high,"improvement/methodology signal (area=Safety & EHS, kw=True)",process,
EHS-TRN-001,Safety Orientation Delivery,Safety & EHS,Safety Training & Awareness,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Safety & EHS)",process,REVIEW
EHS-TRN-002,Safety Communication,Safety & EHS,Safety Training & Awareness,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Safety & EHS)",process,REVIEW
EHS-TRN-003,Toolbox Talk Facilitation,Safety & EHS,Safety Training & Awareness,Behavioral,adaptive,medium,"general/behavioral capability (type=Behavioral, area=Safety & EHS)",process,REVIEW
ENG-COL-016,Cross-Functional Engineering Support,Engineering & R&D,Engineering Collaboration,Behavioral,role_specific,low,"domain expertise fallback (type=Behavioral, area=Engineering & R&D)",role_specific,REVIEW
ENG-COL-017,Supplier Technical Collaboration,Engineering & R&D,Engineering Collaboration,Behavioral,process,medium,"improvement/methodology signal (area=Engineering & R&D, kw=True)",role_specific,REVIEW
ENG-COL-018,New Product Introduction Support,Engineering & R&D,Engineering Collaboration,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Engineering & R&D)",role_specific,
ENG-DES-001,Engineering Drawing Creation,Engineering & R&D,Design & Drafting,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-DES-002,Design for Manufacturability,Engineering & R&D,Design & Drafting,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-DES-003,Tolerance Analysis,Engineering & R&D,Design & Drafting,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-DES-004,CAD Software Proficiency,Engineering & R&D,Design & Drafting,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-DOC-013,Engineering Change Management,Engineering & R&D,Engineering Documentation,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Engineering & R&D)",role_specific,
ENG-DOC-014,Technical Specification Writing,Engineering & R&D,Engineering Documentation,Operational,role_specific,medium,"domain expertise fallback (type=Operational, area=Engineering & R&D)",role_specific,
ENG-DOC-015,Bill of Materials Management,Engineering & R&D,Engineering Documentation,Operational,process,medium,"improvement/methodology signal (area=Engineering & R&D, kw=True)",role_specific,REVIEW
ENG-IE-001,Time Study & Work Measurement,Engineering & R&D,Industrial Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-IE-002,Line Balancing & Workstation Design,Engineering & R&D,Industrial Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-IE-003,Ergonomic Job Design & Assessment,Engineering & R&D,Industrial Engineering,Technical,process,medium,safety methodology -> Process,role_specific,REVIEW
ENG-IE-004,Facility Layout & Material Flow Optimization,Engineering & R&D,Industrial Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-IE-005,Labor Standards & Workforce Planning,Engineering & R&D,Industrial Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRC-009,Process Development,Engineering & R&D,Process Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRC-010,Process Validation,Engineering & R&D,Process Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRC-011,Tooling & Fixture Design,Engineering & R&D,Process Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRC-012,Capacity & Throughput Analysis,Engineering & R&D,Process Engineering,Technical,process,medium,"improvement/methodology signal (area=Engineering & R&D, kw=True)",role_specific,REVIEW
ENG-PRC-013,Design of Experiments (DOE),Engineering & R&D,Process Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRC-014,Process Failure Mode & Effects Analysis (PFMEA),Engineering & R&D,Process Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRC-015,Control Plan Development,Engineering & R&D,Process Engineering,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRC-016,Process Capability Analysis,Engineering & R&D,Process Engineering,Technical,process,medium,"improvement/methodology signal (area=Engineering & R&D, kw=True)",role_specific,REVIEW
ENG-PRO-005,Prototype Development,Engineering & R&D,Prototyping & Testing,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRO-006,Testing & Validation,Engineering & R&D,Prototyping & Testing,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRO-007,Failure Analysis,Engineering & R&D,Prototyping & Testing,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ENG-PRO-008,Material Selection,Engineering & R&D,Prototyping & Testing,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Engineering & R&D)",role_specific,
ESG-EM-004,Air Emissions Monitoring,Environmental & Sustain,Emissions & Resources,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Environmental & Sustain)",process,REVIEW
ESG-EM-005,Water Management & Compliance,Environmental & Sustain,Emissions & Resources,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Environmental & Sustain)",process,REVIEW
ESG-EM-006,Energy Management,Environmental & Sustain,Emissions & Resources,Operational,process,medium,"improvement/methodology signal (area=Environmental & Sustain, kw=True)",process,
ESG-EM-007,Carbon Footprint Tracking,Environmental & Sustain,Emissions & Resources,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Environmental & Sustain)",process,REVIEW
ESG-ESG-008,Sustainability Goal Setting & Tracking,Environmental & Sustain,Sustainability Programs,Operational,process,medium,"improvement/methodology signal (area=Environmental & Sustain, kw=True)",process,
ESG-ESG-009,ESG Reporting & Disclosure,Environmental & Sustain,Sustainability Programs,Technical,role_specific,medium,"domain expertise fallback (type=Technical, area=Environmental & Sustain)",process,REVIEW
