id,name,area,sub,skill_type,desc
CI-LN-004,Visual Management,Continuous Improvement,Lean Fundamentals,Operational,Understands the purpose and basic steps involved in visual management. Can complete routine tasks with clear instructions and support from experienced team members.
CI-MGT-015,Improvement Project Management,Continuous Improvement,CI Management,Operational,Understands the purpose and basic steps involved in improvement project management. Can complete routine tasks with clear instructions and support from experienced team members.
CI-MGT-016,CI Results Tracking & Reporting,Continuous Improvement,CI Management,Operational,Optimizes processes and sets organizational standards for ci results tracking & reporting. Communicates outcomes to stakeholders and leadership. Identifies improvement opportunities
CI-MGT-017,Change Sustainment,Continuous Improvement,CI Management,Behavioral,Consistently models exemplary change sustainment and is recognized as a standard-setter in this area. Monitors for regression and takes corrective action when standards slip. Coaches others
CI-MGT-018,CI Culture Development,Continuous Improvement,CI Management,Behavioral,Recognizes the importance of ci culture development and understands what good practice looks like. Demonstrates this behavior in familiar situations and seeks feedback to improve.
CI-SIX-012,Statistical Process Control,Continuous Improvement,Six Sigma & Data,Technical,Has foundational knowledge of statistical process control and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CI-SIX-013,Data Collection & Measurement,Continuous Improvement,Six Sigma & Data,Technical,Has foundational knowledge of data collection & measurement and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CI-SIX-014,Process Capability Analysis,Continuous Improvement,Six Sigma & Data,Technical,Has foundational knowledge of process capability analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CI-VSM-005,Value Stream Mapping,Continuous Improvement,Value Stream,Technical,Has foundational knowledge of value stream mapping and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CI-VSM-006,Process Flow Analysis,Continuous Improvement,Value Stream,Technical,Has foundational knowledge of process flow analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CI-VSM-007,Cycle Time Reduction,Continuous Improvement,Value Stream,Technical,Has foundational knowledge of cycle time reduction and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CORE-AI-001,AI Literacy,AI & DigitalTic,AI & Emerging Technology,Behavioral,Consistently models exemplary ai literacy and is recognized as a standard-setter in this area. Recognizes the difference between AI-generated and human-generated output. Coaches others
CORE-AI-002,Prompt Engineering Basics,AI & DigitalTic,AI & Emerging Technology,Technical,Has foundational knowledge of prompt engineering basics and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CORE-AI-003,AI Output Evaluation,AI & DigitalTic,AI & Emerging Technology,Behavioral,Consistently models exemplary ai output evaluation and is recognized as a standard-setter in this area. Identifies when AI output needs human correction or verification. Coaches others
CORE-AI-004,AI Ethics & Data Privacy Awareness,AI & DigitalTic,AI & Emerging Technology,Behavioral,Recognizes the importance of ai ethics & data privacy awareness and understands what good practice looks like. Demonstrates this behavior in familiar situations and seeks feedback to improve.
CORE-AI-005,AI-Assisted Task Execution,AI & DigitalTic,AI & Emerging Technology,Technical,Has foundational knowledge of ai-assisted task execution and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CORE-AI-006,Automation Awareness,AI & DigitalTic,AI & Emerging Technology,Behavioral,Understands how automation and AI are changing workflows in manufacturing environments. Adapts to new automated processes and identifies opportunities where automation could improve efficiency or safety.
CORE-CI-001,Process Awareness,Universal Core,Continuous Improvement,Behavioral,Understands how individual tasks fit into larger workflows and organizational goals. Uses this awareness to identify opportunities for improvement.
CORE-CI-002,Feedback Utilization,Universal Core,Continuous Improvement,Behavioral,Accepts feedback constructively and applies it to improve performance. Seeks clarification when needed and demonstrates growth over time.
CORE-CI-003,Initiative,Universal Core,Continuous Improvement,Behavioral,Takes proactive steps to improve work processes or solve problems without being asked. Identifies opportunities to add value and acts on them.
CORE-COLL-001,Teamwork,Universal Core,Collaboration,Behavioral,Works effectively with others to achieve shared goals and support team outcomes. Contributes ideas
CORE-COLL-002,Cross-Functional Collaboration,Universal Core,Collaboration,Behavioral,Partners with individuals across departments to solve problems and complete tasks. Builds productive relationships that support organizational efficiency.
CORE-COLL-003,Conflict Resolution,Universal Core,Collaboration,Behavioral,Addresses disagreements constructively and seeks mutually beneficial solutions. Uses communication and problem-solving skills to maintain positive working relationships.
CORE-COMM-001,Written Communication,Universal Core,Communication,Behavioral,concise content that supports operational clarity and reduces misunderstandings.
CORE-COMM-002,Verbal Communication,Universal Core,Communication,Behavioral,and presentations. Adjusts tone and detail based on audience needs to ensure shared understanding.
CORE-COMM-003,Active Listening,Universal Core,Communication,Behavioral,and confirms understanding before responding. Uses listening skills to improve collaboration and reduce errors.
CORE-COMM-004,Professional Etiquette,Universal Core,Communication,Behavioral,Communicates respectfully and appropriately in all workplace interactions. Demonstrates awareness of organizational norms and maintains professionalism under pressure.
CORE-CUST-001,Customer Interaction,Universal Core,Customer & Service Orientation,Behavioral,Communicates professionally with internal or external customers to understand needs and provide support. Uses service-oriented behaviors to build trust and satisfaction.
CORE-CUST-002,Issue Escalation,Universal Core,Customer & Service Orientation,Behavioral,Recognizes when an issue requires additional support and escalates appropriately. Follows escalation procedures to ensure timely resolution.
CORE-CUST-003,Issue Response & Recovery,Universal Core,Customer & Service Orientation,Behavioral,Responds constructively when service issues occur and works to restore customer confidence. Uses empathy and problem-solving to resolve concerns.
CORE-DIG-001,Basic Computer Skills,Universal Core,Digital & Computer Literacy,Technical,and basic software navigation. Applies digital tools to complete routine tasks efficiently.
CORE-DIG-002,Microsoft Office Basics,Universal Core,Digital & Computer Literacy,Technical,and other standard tools to complete daily work. Applies basic formatting
CORE-DIG-003,System Navigation,Universal Core,Digital & Computer Literacy,Technical,and software with minimal guidance. Learns new systems quickly and follows established procedures.
CORE-DIG-004,Data Entry Accuracy,Universal Core,Digital & Computer Literacy,Operational,Enters information into systems with precision and attention to detail. Verifies data to prevent errors and maintain data integrity.
CORE-DIG-005,Work Management System Proficiency,Universal Core,Digital & Computer Literacy,Technical,and maintains data accuracy. Applies tool features appropriate to role scope.
CORE-PROF-001,Reliability,Universal Core,Professionalism & Work Ethic,Behavioral,and task completion. Demonstrates dependability in routine and high-pressure situations.
CORE-PROF-002,Accountability,Universal Core,Professionalism & Work Ethic,Behavioral,and outcomes. Acknowledges mistakes and works to correct them.
CORE-PROF-003,Adaptability,Universal Core,Professionalism & Work Ethic,Behavioral,or conditions with a positive and flexible mindset. Learns quickly and remains effective during change.
CORE-PROF-004,Integrity,Universal Core,Professionalism & Work Ethic,Behavioral,Acts ethically and maintains confidentiality when required. Demonstrates honesty and fairness in all interactions.
CORE-PSCT-001,Problem Identification,Universal Core,Problem Solving & Critical Thinking,Behavioral,or inefficiencies in processes or tasks. Uses observation and data to define the problem clearly.
CORE-PSCT-002,Critical Thinking,Universal Core,Problem Solving & Critical Thinking,Behavioral,Evaluates information objectively and considers multiple perspectives before making decisions. Uses logic and evidence to guide conclusions.
CORE-PSCT-003,Decision Making,Universal Core,Problem Solving & Critical Thinking,Behavioral,evidence-based case for decisions and communicates rationale to others. Stands behind sound decisions even when they are unpopular. At senior levels
CORE-PSCT-004,Troubleshooting,Universal Core,Problem Solving & Critical Thinking,Operational,Identifies the root of a problem and applies practical steps to resolve it. Uses structured methods to test solutions and verify results.
CORE-SAFE-001,Safety Awareness,Universal Core,Safety & Compliance,Safety,Follows safety guidelines and identifies potential hazards in the work environment. Takes proactive steps to prevent accidents and maintain a safe workplace.
CORE-SAFE-002,Policy Adherence,Universal Core,Safety & Compliance,Behavioral,and standards. Applies rules consistently to support compliance and reduce risk.
CORE-SAFE-003,Confidentiality,Universal Core,Safety & Compliance,Behavioral,Protects sensitive information and handles data responsibly. Follows privacy and security protocols to maintain trust and compliance.
CORE-TTM-001,Prioritization,Universal Core,Task & Time Management,Behavioral,and deadlines. Adjusts priorities as conditions change to maintain productivity.
CORE-TTM-002,Time Management,Universal Core,Task & Time Management,Behavioral,Plans and manages time effectively to meet deadlines and maintain workflow. Balances multiple tasks without sacrificing quality.
CORE-TTM-003,Organization,Universal Core,Task & Time Management,Behavioral,and information systems. Uses organizational tools and methods to improve efficiency and reduce errors.
CORE-TTM-004,Follow-Through,Universal Core,Task & Time Management,Behavioral,Completes assigned tasks accurately and on time. Ensures commitments are met and communicates proactively when delays arise.
CX-CSM-001,Onboarding Support,Customer Success,Customer Success Management,Behavioral,Guides customers through onboarding processes. Ensures smooth adoption and early success.
CX-CSM-002,Adoption Monitoring,Customer Success,Customer Success Management,Operational,Monitors customer usage and adoption of products or services. Identifies risks and opportunities.
CX-CSM-003,Value Communication,Customer Success,Customer Success Management,Behavioral,Communicates product or service value clearly. Helps customers understand benefits and ROI.
CX-INS-001,Feedback Collection,Customer Success,Customer Insights & Feedback,Behavioral,or conversations. Ensures accuracy and neutrality.
CX-INS-002,Voice of Customer Analysis,Customer Success,Customer Insights & Feedback,Technical,Has foundational knowledge of voice of customer analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
CX-INS-003,Customer Journey Understanding,Customer Success,Customer Insights & Feedback,Behavioral,Understands the customer journey and identifies friction points or opportunities to improve the experience.
CX-OPS-001,CRM & Ticketing Usage,Customer Success,Customer Experience Operations,Operational,Understands the purpose and basic steps involved in crm & ticketing usage. Can complete routine tasks with clear instructions and support from experienced team members.
CX-OPS-002,Process Documentation,Customer Success,Customer Experience Operations,Operational,and best practices. Ensures clarity and consistency.
CX-OPS-003,Experience Improvement Support,Customer Success,Customer Experience Operations,Behavioral,v1.0 Tier 3 — Facilities Tier 3 — Facilities
CX-REC-001,Issue Triage,Customer Success,Issue Resolution & Service Recovery,Operational,Identifies and categorizes customer issues accurately. Prioritizes based on urgency and impact.
CX-REC-002,Service Recovery,Customer Success,Issue Resolution & Service Recovery,Behavioral,Responds to customer issues with empathy and professionalism. Works to restore trust and satisfaction.
CX-REC-003,Cross-Functional Coordination (Customer Success),Customer Success,Issue Resolution & Service Recovery,Behavioral,Collaborates with internal teams to resolve customer issues. Ensures clear communication and follow‑through.
CX-REL-001,Customer Engagement,Customer Success,Customer Relationship Management,Behavioral,trust‑based relationships with customers through consistent communication and responsiveness.
CX-REL-002,Account Understanding,Customer Success,Customer Relationship Management,Behavioral,and history. Uses insights to tailor interactions and support.
CX-REL-003,Customer Retention Support,Customer Success,Customer Relationship Management,Operational,Identifies retention risks and supports strategies to maintain long‑term customer relationships.
DAIO-BI-001,Dashboard Development,Data & AI Operations,Business Intelligence & Visualization,Technical,Has foundational knowledge of dashboard development and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-BI-002,Report Automation,Data & AI Operations,Business Intelligence & Visualization,Technical,Has foundational knowledge of report automation and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-BI-003,Data Storytelling,Data & AI Operations,Business Intelligence & Visualization,,Recognizes the value of data storytelling and understands how it contributes to professional effectiveness. Is developing foundational capabilities and applies basic concepts with guidance.
DAIO-DM-001,Data Collection & Preparation,Data & AI Operations,Data Management,Technical,Has foundational knowledge of data collection & preparation and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-DM-002,Data Pipeline Management,Data & AI Operations,Data Management,Technical,Has foundational knowledge of data pipeline management and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-DM-003,Data Quality Assurance,Data & AI Operations,Data Management,Technical,Has foundational knowledge of data quality assurance and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-DM-004,Database Administration,Data & AI Operations,Data Management,Technical,Has foundational knowledge of database administration and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-IOT-001,IoT Sensor Data Management,Data & AI Operations,Industrial AI & IoT,Technical,Has foundational knowledge of iot sensor data management and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-IOT-002,Predictive Maintenance Systems,Data & AI Operations,Industrial AI & IoT,Technical,Has foundational knowledge of predictive maintenance systems and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-IOT-003,Computer Vision for Manufacturing,Data & AI Operations,Industrial AI & IoT,Technical,Has foundational knowledge of computer vision for manufacturing and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-IOT-004,Process Optimization with AI,Data & AI Operations,Industrial AI & IoT,Technical,Has foundational knowledge of process optimization with ai and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-ML-001,Machine Learning Model Development,Data & AI Operations,AI/ML Implementation,Technical,Has foundational knowledge of machine learning model development and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-ML-002,Model Deployment & Integration,Data & AI Operations,AI/ML Implementation,Technical,Has foundational knowledge of model deployment & integration and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-ML-003,Model Monitoring & Maintenance,Data & AI Operations,AI/ML Implementation,Technical,Has foundational knowledge of model monitoring & maintenance and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-ML-004,Training Data Management,Data & AI Operations,AI/ML Implementation,Technical,Has foundational knowledge of training data management and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-SEC-001,AI System Security,Data & AI Operations,AI Security & Compliance,Technical,Has foundational knowledge of ai system security and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-SEC-002,AI Regulatory Compliance,Data & AI Operations,AI Security & Compliance,Technical,Has foundational knowledge of ai regulatory compliance and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DAIO-SEC-003,AI Bias Detection & Mitigation,Data & AI Operations,AI Security & Compliance,Behavioral,Has foundational knowledge of ai bias detection & mitigation and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
DIST-ADMIN-001,Rental Contract Awareness,Distribution,Administrative Coordination,Operational,Understands key elements of rental agreements and ensures operational actions align with contract terms. Supports accurate billing and customer satisfaction.
DIST-ADMIN-002,Sales Order Awareness,Distribution,Administrative Coordination,Operational,and documentation needs. Ensures distribution actions support accurate fulfillment.
DIST-ADMIN-003,Documentation Accuracy,Distribution,Administrative Coordination,Operational,Completes operational paperwork and system entries with precision. Supports compliance
DIST-CUST-001,Customer Communication (Distribution),Distribution,Customer Interaction,Behavioral,and service expectations. Builds trust through transparency and responsiveness.
DIST-CUST-002,Issue Escalation (Distribution),Distribution,Customer Interaction,Behavioral,Recognizes when customer concerns or operational issues require additional support. Escalates promptly to maintain service quality.
DIST-CUST-003,Customer Handoff Procedures,Distribution,Customer Interaction,Operational,and safety information during equipment handoff. Supports safe and confident equipment use.
DIST-DISP-001,Dispatch Scheduling,Distribution,Dispatch & Coordination,Operational,and transfers based on customer needs and fleet availability. Coordinates timing to minimize delays and maximize efficiency.
DIST-DISP-002,Driver Coordination,Distribution,Dispatch & Coordination,Behavioral,and customer expectations. Ensures drivers have accurate and complete information.
DIST-DISP-003,Route Planning Awareness,Distribution,Dispatch & Coordination,Operational,and equipment type. Supports efficient and safe delivery planning.
DIST-DISP-004,Delivery Documentation,Distribution,Dispatch & Coordination,Operational,and confirmations are completed accurately. Supports billing
DIST-INV-001,Asset Tracking,Distribution,Inventory & Asset Control,Operational,and availability. Maintains accurate records to support operational planning.
DIST-INV-002,Cycle Counting (Distribution),Distribution,Inventory & Asset Control,Operational,Performs periodic counts of equipment and materials to verify accuracy. Identifies discrepancies and reports them promptly.
DIST-INV-003,Loss Prevention Awareness,Distribution,Inventory & Asset Control,Safety,Identifies behaviors or conditions that may lead to equipment loss or damage. Follows procedures to protect company assets.
DIST-OPS-001,Order Processing (Distribution),Distribution,Distribution Operations,Operational,or transfer orders accurately and in alignment with company procedures. Ensures all required information is complete to prevent delays or errors.
DIST-OPS-002,Equipment Allocation,Distribution,Distribution Operations,Operational,and operational priorities. Balances demand with fleet readiness to optimize utilization.
DIST-OPS-003,Fleet Readiness Verification,Distribution,Distribution Operations,Technical,and compliant before release. Coordinates with service teams to resolve issues quickly.
DIST-OPS-004,Equipment Check-In Procedures,Distribution,Distribution Operations,Operational,or missing components. Documents findings accurately to support billing and maintenance.
DIST-OPS-005,Equipment Check-Out Procedures,Distribution,Distribution Operations,Operational,and customer requirements before release. Ensures safe and accurate handoff to customers or drivers.
DIST-OPS-006,Inventory Location Accuracy,Distribution,Distribution Operations,Operational,Ensures equipment and materials are stored in correct locations and updates systems accordingly. Supports efficient retrieval and reduces operational delays.
DIST-OPS-007,Yard Organization,Distribution,Distribution Operations,Operational,Maintains an orderly yard layout to support safe movement and efficient equipment access. Identifies and corrects hazards or obstructions.
DIST-SAFE-001,Yard Safety Practices,Distribution,Safety & Compliance,Safety,and vehicle traffic. Identifies hazards and takes action to prevent incidents.
DIST-SAFE-002,Load Securement Awareness,Distribution,Safety & Compliance,Safety,Understands proper load securement techniques to prevent shifting or damage during transport. Supports safe and compliant deliveries.
DIST-SAFE-003,Equipment Tagging Procedures,Distribution,Safety & Compliance,Safety,or operational restrictions. Ensures equipment is not used until cleared.
DIST-SAFE-004,Hazard Communication (Distribution),Distribution,Safety & Compliance,Safety,and team members. Supports safe operations and regulatory compliance.
EHS-COMP-001,OSHA Compliance Support,Safety & EHS,Safety Programs & Compliance,Technical,Applies OSHA requirements to workplace practices. Supports compliance activities and documentation.
EHS-COMP-002,Safety Policy Implementation,Safety & EHS,Safety Programs & Compliance,Operational,Implements safety policies and procedures. Ensures employees understand and follow expectations.
EHS-COMP-003,Safety Audit Support,Safety & EHS,Safety Programs & Compliance,Operational,Supports internal and external safety audits. Prepares documentation and participates in walkthroughs.
EHS-EMR-001,Emergency Response Procedures,Safety & EHS,Emergency Preparedness,Operational,Understands the purpose and basic steps involved in emergency response procedures. Can complete routine tasks with clear instructions and support from experienced team members.
EHS-EMR-002,First Aid & CPR Support,Safety & EHS,Emergency Preparedness,Technical,Provides basic first aid or CPR if trained and certified. Supports emergency response teams as needed.
EHS-EMR-003,Drill Coordination,Safety & EHS,Emergency Preparedness,Operational,Understands the purpose and basic steps involved in drill coordination. Can complete routine tasks with clear instructions and support from experienced team members.
EHS-ENV-001,Waste Handling & Disposal,Safety & EHS,Environmental Management,Operational,Handles and disposes of waste materials according to environmental regulations and company policies.
EHS-ENV-002,Spill Prevention & Response,Safety & EHS,Environmental Management,Operational,Implements spill prevention measures and responds to spills safely and effectively. Documents actions and escalates as needed.
EHS-ENV-003,Environmental Compliance (EHS),Safety & EHS,Environmental Management,Technical,and waste requirements. Maintains documentation and reporting.
EHS-HAZ-001,Hazard Recognition,Safety & EHS,Hazard Identification & Control,Operational,and environmental risks. Escalates concerns promptly.
EHS-HAZ-002,Risk Assessment (Safety),Safety & EHS,Hazard Identification & Control,Technical,Assesses severity and likelihood of hazards. Supports prioritization and mitigation planning.
EHS-HAZ-003,Control Implementation,Safety & EHS,Hazard Identification & Control,Operational,and PPE measures. Ensures controls are effective and maintained.
EHS-INC-001,Incident Response,Safety & EHS,Incident Response & Investigation,Operational,Responds to workplace incidents promptly and professionally. Ensures safety
EHS-INC-002,Incident Reporting,Safety & EHS,Incident Response & Investigation,Operational,Documents incidents accurately and completely. Ensures timely submission and compliance with reporting requirements.
EHS-INC-003,Root Cause Investigation,Safety & EHS,Incident Response & Investigation,Technical,Conducts structured investigations to identify root causes and contributing factors. Supports corrective action planning.
EHS-TRN-001,Safety Orientation Delivery,Safety & EHS,Safety Training & Awareness,Behavioral,Provides safety orientation to new hires. Ensures understanding of key policies
EHS-TRN-002,Safety Communication,Safety & EHS,Safety Training & Awareness,Behavioral,and reminders clearly and consistently. Reinforces safe behaviors.
EHS-TRN-003,Toolbox Talk Facilitation,Safety & EHS,Safety Training & Awareness,Behavioral,Leads toolbox talks or safety huddles. Ensures content is relevant
ENG-COL-016,Cross-Functional Engineering Support,Engineering & R&D,Engineering Collaboration,Behavioral,Consistently models exemplary cross-functional engineering support and is recognized as a standard-setter in this area. Translates engineering requirements into actionable guidance for non-engineering stakeholders. Coaches others
ENG-COL-017,Supplier Technical Collaboration,Engineering & R&D,Engineering Collaboration,Behavioral,Consistently models exemplary supplier technical collaboration and is recognized as a standard-setter in this area. Reviews supplier capabilities and provides engineering guidance during sourcing decisions. Coaches others
ENG-COL-018,New Product Introduction Support,Engineering & R&D,Engineering Collaboration,Operational,Understands the purpose and basic steps involved in new product introduction support. Can complete routine tasks with clear instructions and support from experienced team members.
ENG-DES-001,Engineering Drawing Creation,Engineering & R&D,Design & Drafting,Technical,Has foundational knowledge of engineering drawing creation and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-DES-002,Design for Manufacturability,Engineering & R&D,Design & Drafting,Technical,Has foundational knowledge of design for manufacturability and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-DES-003,Tolerance Analysis,Engineering & R&D,Design & Drafting,Technical,Has foundational knowledge of tolerance analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-DES-004,CAD Software Proficiency,Engineering & R&D,Design & Drafting,Technical,Has foundational knowledge of cad software proficiency and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-DOC-013,Engineering Change Management,Engineering & R&D,Engineering Documentation,Operational,Understands the purpose and basic steps involved in engineering change management. Can complete routine tasks with clear instructions and support from experienced team members.
ENG-DOC-014,Technical Specification Writing,Engineering & R&D,Engineering Documentation,Operational,Optimizes processes and sets organizational standards for technical specification writing. Ensures specifications are unambiguous and aligned with customer and regulatory requirements. Identifies improvement opportunities
ENG-DOC-015,Bill of Materials Management,Engineering & R&D,Engineering Documentation,Operational,Optimizes processes and sets organizational standards for bill of materials management. Coordinates with procurement and production to ensure BOM accuracy supports ordering and scheduling. Identifies improvement opportunities
ENG-IE-001,Time Study & Work Measurement,Engineering & R&D,Industrial Engineering,Technical,Has foundational knowledge of time study & work measurement and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-IE-002,Line Balancing & Workstation Design,Engineering & R&D,Industrial Engineering,Technical,Has foundational knowledge of line balancing & workstation design and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-IE-003,Ergonomic Job Design & Assessment,Engineering & R&D,Industrial Engineering,Technical,Has foundational knowledge of ergonomic job design & assessment and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-IE-004,Facility Layout & Material Flow Optimization,Engineering & R&D,Industrial Engineering,Technical,Has foundational knowledge of facility layout & material flow optimization and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-IE-005,Labor Standards & Workforce Planning,Engineering & R&D,Industrial Engineering,Technical,Has foundational knowledge of labor standards & workforce planning and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRC-009,Process Development,Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of process development and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRC-010,Process Validation,Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of process validation and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRC-011,Tooling & Fixture Design,Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of tooling & fixture design and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRC-012,Capacity & Throughput Analysis,Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of capacity & throughput analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRC-013,Design of Experiments (DOE),Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of design of experiments (doe) and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRC-014,Process Failure Mode & Effects Analysis (PFMEA),Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of process failure mode & effects analysis (pfmea) and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRC-015,Control Plan Development,Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of control plan development and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
